2024已测手冲豆单,,,,,,,
,品牌,豆子,烘焙度,推荐值（星）,元/克,评测（期）,返回目录
1,有容乃大,埃塞水洗TOH#1,浅度,5,0.610,14,
2,河川水流,粉色湖泊,浅度,5,0.710,23,
3,咖啡加油站,哥伦比亚大肚脐,浅度,4,没花钱,5,
4,菜头的一爆,新产季肯尼亚AA,浅度,4,0.571,8,
5,乐蓬百纳,雪冽图,浅度,4,0.645,18,
6,菠萝咖啡橙子,黑冰糖,中度,4,0.650,20,
7,菜头,酒香耶加,浅度,4,0.595,21,
8,启程拓殖,如目达摩日晒,浅度,4,0.780,25,
9,菠萝咖啡橙子,Vintage,深度,4,0.312,26,
10,FlyingHippo,罕贝拉花魁王,中浅度,3,0.544,1,
11,来回咖啡,日晒埃塞,中度,3,0.256,2,
12,馊味X私奔咖啡,新产季水洗瑰夏,浅度,3,0.583,7,
13,捌比特,哥斯达黎加黑蜜,中度,3,0.372,9,
14,BOB,班莎库库里 ,中度,3,0.308,10,
15,摸鱼家,金标瑰夏村,浅度,3,0.260,11,
16,辛鹿咖啡,埃塞TOH冠军,浅度,3,0.348,12,
17,辛鹿咖啡,红樱桃瑰夏,浅度,3,0.220,13,
18,啡舍咖啡,水洗沃卡,浅度,3,0.286,15,
19,良致咖啡,杨梅葡萄,浅度,3,0.390,16,
20,菜头,蜜瓜曼特宁,深度,3,0.419,22,
21,菠萝咖啡成子,仙豆2.0,浅度,3,0.660,24,
22,乔治队长,迷你芭乐,浅度,3,0.480,27,
23,四人咖啡,草莓糖,浅度,3,0.418,28,
24,良致,巴西黄波旁,浅度,3,0.42,29,
30,拼一口,紫叶卡杜拉,浅度,3,0.593,30,
25,鹿吉咖啡,云南秘境1号,浅度,2,0.137,3,
26,辛鹿咖啡,日晒花魁G1,浅度,2,0.236,4,
27,Tom,花魁8.0,浅度,2,0.330,6,
28,来珠克,桃浪,中浅,2,0.200,19,
29,AF,浮光埃塞G2,浅度,1,0.145,17,
31,,,,,,,
32,,,,,,,
33,,,,,,,
34,,,,,,,
